MeasureItem;MeasureItemCategoryID;MeasureItemID;Category;Country;Year;LengthOfCircuits;LengthOfRoutes;NumberOfUnits;ProvidedValue;CreationDate;ProvidedValueCode
Inventory of Transmission;5;406;ACC_220kV_380kV;AT;2021;8;7;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;AT;2021;54;54;;;28/03/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;AT;2021;10809;6124;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;AT;2021;3735;1911;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;AT;2021;3004;1386;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;AT;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;AT;2021;;;;110 kV cables: length of circuits 808 km, length of routh 748 km;28/03/2023;
Inventory of Transmission;5;426;Comments_3;AT;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;AT;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;AT;2021;;;45;9.84;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;AT;2021;;;21;6.1;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;AT;2021;;;21;13.9;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;AT;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;BE;2021;162;72;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;BE;2021;41;10;;;28/03/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;BE;2021;3223;1934.707;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;BE;2021;448.184;298.907;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;BE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;BE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;BE;2021;1533.558;939.077;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;BE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;BE;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;BE;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;BE;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;BE;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;BE;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;BE;2021;49;49;;;28/03/2023;
Inventory of Transmission;5;409;DCC_Over_380kV;BE;2021;139;139;;;28/03/2023;
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;BE;2021;;;4;1.275;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;BE;2021;;;;;28/03/2023;Not Expected
